,Lat,Lon,Base,hour,weekday
188287,40.6878,-73.9691,1,14,3
494807,40.791,-73.9763,3,6,4
54317,40.7586,-73.9762,1,19,0
487403,40.7763,-73.9767,3,7,6
461092,40.7569,-73.9721,3,17,0
152348,40.7291,-74.0448,1,8,6
109363,40.7534,-73.9785,1,16,5
406201,40.7466,-74.005,3,22,4
486163,40.6415,-73.7886,3,23,5
270940,40.7552,-73.9796,2,17,5
96833,40.7435,-73.9818,1,19,2
361300,40.721,-74.0043,3,23,0
348387,40.7371,-73.9922,3,21,4
440555,40.7246,-73.9986,3,21,5
228473,40.7616,-73.9728,2,18,4
61984,40.74,-74.0058,1,0,3
124242,40.7342,-73.9924,1,20,4
410221,40.7249,-73.9954,3,14,0
229879,40.7337,-73.9899,2,23,4
172077,40.724,-74.0042,1,18,0
139449,40.6963,-73.9945,1,18,3
124951,40.7021,-73.9364,1,22,4
555578,40.7526,-73.9754,4,20,4
482820,40.7429,-74.0075,3,15,5
145500,40.7752,-73.9453,1,6,5
444088,40.642,-73.7886,3,13,6
377132,40.7479,-73.992,3,7,1
547431,40.7256,-73.9987,3,15,6
388455,40.7669,-73.9786,3,16,5
134388,40.7411,-73.9979,1,16,2
502348,40.7334,-73.9972,3,22,4
509600,40.754,-73.9881,3,20,0
466994,40.7415,-73.9812,3,16,2
455407,40.7683,-73.8623,3,21,4
431490,40.7521,-73.9935,3,17,1
68723,40.7362,-73.9962,1,17,1
406345,40.7616,-73.9836,3,22,4
328233,40.6947,-73.9643,3,8,5
127939,40.7363,-74.0618,1,14,0
216096,40.7585,-73.9729,1,20,6
329169,40.7577,-73.9868,3,13,5
204178,40.7571,-73.9756,1,20,5
167643,40.7211,-74.0041,1,7,0
175408,40.7294,-74.0055,1,23,0
481216,40.7592,-73.965,3,9,5
107167,40.724,-74.0094,1,7,5
279335,40.7198,-74.0467,2,19,4
395788,40.7383,-73.9999,3,17,6
337955,40.7513,-73.9434,3,17,6
448856,40.7229,-73.7792,3,4,4
73354,40.6397,-73.9539,1,15,5
515468,40.758,-73.9759,3,13,2
190506,40.6467,-73.7902,1,20,3
161454,40.7255,-74.0011,1,15,4
401246,40.7769,-73.9617,3,13,4
99851,40.6759,-73.9165,1,6,3
126927,40.7632,-73.9746,1,10,0
45786,40.7282,-73.9992,1,14,4
482994,40.7249,-73.9941,3,16,5
39509,40.8729,-73.9046,1,5,6
52425,40.7572,-73.9769,1,16,0
60422,40.7281,-74.0,1,20,2
210325,40.7354,-73.9942,1,14,6
380389,40.7643,-73.9832,3,17,1
404813,40.7356,-73.9987,3,20,4
196317,40.3243,-74.6489,1,21,1
102363,40.7501,-73.9938,1,21,3
221667,40.7647,-73.978,2,21,5
108203,40.7893,-73.9548,1,12,5
525158,40.7603,-73.9912,3,15,3
153139,40.6941,-73.9872,1,12,6
553782,40.7454,-73.977,3,22,6
357635,40.7623,-73.9631,3,19,0
322023,40.7503,-74.0046,2,12,6
367475,40.7593,-73.9839,3,20,2
563427,40.7618,-73.9719,4,17,1
70268,40.6985,-74.184,1,20,1
535774,40.7335,-74.0074,3,14,5
509012,40.7513,-73.9867,3,19,0
75080,40.7752,-73.9893,1,20,5
31181,40.7673,-73.9899,0,10,1
508042,40.7582,-73.9747,3,17,0
159834,40.7609,-73.9982,1,9,4
154613,40.7804,-73.9858,1,16,6
10471,40.771,-73.866,0,10,6
356965,40.7637,-73.9749,3,18,0
491095,40.7522,-74.0051,3,17,6
317039,40.7653,-73.9756,2,10,5
175678,40.7233,-74.003,1,23,0
479790,40.7243,-74.0032,3,3,5
158034,40.7663,-73.9699,1,22,6
144130,40.7741,-73.8725,1,19,1
345327,40.7408,-74.0076,3,17,4
42792,40.7216,-74.0011,1,19,6
67596,40.8272,-73.924,1,14,1
38466,40.737,-73.9887,1,19,5
441742,40.7646,-73.9681,3,5,6
305971,40.7348,-73.9988,2,22,0
383213,40.718,-74.0071,3,20,1
169107,40.7661,-73.9561,1,12,0
195171,40.7155,-74.0013,1,18,1
237583,40.74,-73.9991,2,18,2
216994,40.7605,-73.9744,1,21,6
509162,40.7211,-74.0005,3,19,0
537503,40.7045,-74.0095,3,16,5
500872,40.7301,-73.9927,3,20,4
70194,40.7561,-73.9727,1,19,1
317462,40.7647,-73.9809,2,14,5
418342,40.7193,-73.9909,3,16,2
558516,40.7144,-73.9655,4,17,2
220203,40.7098,-73.9522,2,14,5
397162,40.7033,-74.0115,3,20,6
86367,40.7219,-73.9919,1,22,4
121761,40.7443,-73.9919,1,16,4
260470,40.7346,-74.0023,2,22,0
131460,40.7264,-73.992,1,23,0
68962,40.7578,-73.9792,1,17,1
382750,40.7483,-73.9395,3,19,1
48097,40.7429,-73.9844,1,20,4
274509,40.762,-73.9693,2,15,6
559679,40.7196,-74.0022,4,18,6
414047,40.7042,-73.933,3,21,0
390361,40.7137,-74.0119,3,20,5
234776,40.7289,-73.959,2,21,0
178625,40.7648,-73.9244,1,12,2
522396,40.7256,-73.9838,3,1,3
286286,40.7659,-73.9241,2,23,2
459465,40.765,-73.8209,3,13,0
356530,40.7363,-74.0077,3,18,0
234011,40.75,-73.9842,2,19,0
79894,40.695,-74.1774,1,20,6
176879,40.7033,-74.0102,1,2,2
369041,40.6893,-73.9992,3,22,2
38293,40.7683,-73.8621,1,18,5
50012,40.7656,-73.9809,1,7,0
460582,40.7258,-74.0091,3,16,0
420600,40.7645,-73.9845,3,20,2
24638,40.7232,-74.0062,0,2,6
162303,40.6418,-73.7888,1,16,4
324582,40.7485,-73.9851,2,18,6
3786,40.7364,-73.9968,0,22,4
305768,40.7272,-73.9918,2,21,0
88208,40.7643,-73.9546,1,10,0
79604,40.7285,-73.9878,1,19,6
66277,40.7812,-73.9462,1,6,1
19508,40.732,-73.9964,0,12,4
398424,40.8059,-73.9541,3,0,4
476871,40.7569,-73.9839,3,14,1
35229,40.7636,-73.9762,0,20,6
502052,40.772,-73.9828,3,21,4
449352,40.7356,-74.0033,3,7,4
111955,40.7298,-73.9985,1,21,5
356440,40.7057,-74.0095,3,17,0
158900,40.7746,-73.9772,1,6,4
57378,40.7309,-73.9578,1,10,2
52201,40.7227,-73.986,1,15,0
137436,40.7125,-73.9237,1,6,3
90999,40.7743,-73.9639,1,19,0
548868,40.7271,-73.9797,3,17,6
441576,40.7162,-74.0124,3,3,6
29156,40.7247,-74.0111,0,15,2
134457,40.767,-73.9541,1,17,2
256654,40.7415,-73.9933,2,0,0
225500,40.7415,-74.0012,2,21,6
340112,40.7587,-73.9727,3,21,6
474825,40.7469,-73.9973,3,5,1
84135,40.7139,-73.9931,1,17,4
309596,40.7408,-73.9787,2,20,2
68230,40.7146,-73.9364,1,16,1
464627,40.7004,-73.8077,3,2,2
558429,40.7165,-74.0023,4,13,2
283749,40.6673,-73.9541,2,0,2
368151,40.7627,-73.9713,3,21,2
306742,40.738,-74.0092,2,1,2
290901,40.7251,-74.01,2,6,5
427805,40.8033,-73.9664,3,3,1
495904,40.7699,-73.9843,3,9,4
120266,40.7741,-73.8721,1,11,4
227929,40.7427,-74.3664,2,17,4
189763,40.7333,-74.0052,1,18,3
60689,40.7383,-73.8684,1,21,2
15142,40.7227,-73.9882,0,1,3
322822,40.6254,-73.9597,2,14,6
332224,40.741,-73.9925,3,20,5
270777,40.7603,-73.9773,2,16,5
313868,40.7684,-73.9534,2,7,1
447218,40.7537,-73.9931,3,20,6
375209,40.744,-73.9836,3,19,3
523618,40.7726,-73.949,3,10,3
335237,40.7786,-73.986,3,11,6
145527,40.7459,-74.0001,1,6,5
365509,40.7259,-73.9414,3,17,2
117408,40.7613,-73.9868,1,20,6
501254,40.7704,-73.8652,3,20,4
273347,40.7653,-73.982,2,7,6
163820,40.7057,-74.01,1,18,4
544792,40.7559,-73.9777,3,11,6
257086,40.6925,-73.9414,2,7,0
212821,40.6733,-73.9629,1,17,6
284921,40.755,-73.9365,2,15,2
4412,40.7756,-73.9607,0,13,0
325481,40.6595,-73.925,2,20,6
370782,40.7395,-74.0064,3,0,3
74770,40.7128,-74.0097,1,19,5
493538,40.7554,-73.9813,3,22,6
489227,40.7235,-73.9973,3,14,6
402268,40.7172,-73.9652,3,16,4
288292,40.7708,-73.8656,2,22,3
208147,40.7416,-73.9897,1,10,6
471114,40.7703,-73.9559,3,10,3
189368,40.761,-73.9831,1,16,3
68983,40.7547,-73.9639,1,17,1
507467,40.7396,-73.9927,3,16,0
383853,40.7364,-74.0071,3,21,1
264760,40.6108,-73.9207,2,10,3
32321,40.7414,-73.9933,0,13,5
391824,40.6856,-74.0024,3,6,6
459668,40.751,-73.9932,3,14,0
230712,40.7645,-73.9687,2,8,0
433426,40.7914,-73.9779,3,6,5
124697,40.724,-73.9972,1,21,4
266389,40.6616,-73.9858,2,4,1
392168,40.7295,-73.9803,3,7,6
282745,40.7746,-73.9913,2,19,0
340579,40.7202,-73.9934,3,0,4
320376,40.7443,-73.9845,2,5,6
298530,40.7555,-73.9976,2,9,4
330754,40.748,-73.9914,3,17,5
511161,40.761,-73.9797,3,22,0
346785,40.7075,-73.9491,3,19,4
461210,40.7569,-73.9814,3,17,0
220201,40.7663,-73.9537,2,14,5
264719,40.8997,-73.8532,2,10,3
551438,40.7523,-73.9934,3,19,6
355284,40.7583,-73.9668,3,16,0
398192,40.7592,-73.973,3,22,6
412060,40.7641,-73.9791,3,18,0
37789,40.7636,-73.9777,1,17,5
310089,40.7598,-73.9686,2,22,2
390790,40.6754,-73.9738,3,21,5
498178,40.7837,-73.9535,3,16,4
499502,40.7692,-73.9039,3,18,4
337448,40.7602,-73.9751,3,16,6
416911,40.7857,-73.9547,3,11,2
297788,40.7643,-73.9613,2,5,4
420141,40.7226,-73.9828,3,19,2
102613,40.746,-73.988,1,22,3
194949,40.7422,-74.0061,1,17,1
179788,40.7665,-73.9647,1,15,2
305617,40.719,-73.961,2,21,0
60047,40.72,-73.9555,1,19,2
446390,40.7635,-73.9692,3,18,6
95294,40.7561,-73.9812,1,16,2
409435,40.7564,-73.9978,3,12,0
275581,40.7304,-73.9907,2,19,6
110869,40.7716,-73.9488,1,19,5
469951,40.7214,-73.9877,3,0,3
505837,40.7481,-74.0052,3,13,0
317755,40.7598,-73.9804,2,15,5
561793,40.8081,-73.9452,4,22,6
458148,40.7299,-73.9867,3,8,0
1125,40.7169,-73.9894,0,6,6
284972,40.7239,-73.9969,2,15,2
80038,40.7559,-73.977,1,20,6
407153,40.7123,-74.0388,3,4,0
72664,40.7569,-73.9671,1,11,5
387477,40.7348,-73.9928,3,13,5
398470,40.7959,-73.9472,3,1,4
14021,40.7505,-74.0239,0,0,2
464737,40.7219,-73.9921,3,3,2
443111,40.7588,-73.977,3,9,6
50948,40.6719,-73.9831,1,11,0
225476,40.7231,-73.9783,2,21,6
74043,40.7095,-73.8493,1,17,5
173948,40.7152,-73.9987,1,21,0
302459,40.7735,-73.9459,2,7,0
149926,40.7567,-73.9827,1,19,5
11224,40.7469,-73.9847,0,20,6
249983,40.7204,-74.012,2,9,6
2889,40.7166,-74.0146,0,14,4
263065,40.7405,-73.9893,2,20,2
167555,40.8023,-73.9346,1,7,0
425216,40.7387,-73.9888,3,14,3
457858,40.764,-73.9781,3,7,0
509794,40.7625,-73.9782,3,20,0
507958,40.7451,-73.9827,3,17,0
34139,40.7074,-74.0013,0,13,6
64520,40.7246,-74.0019,1,16,3
445251,40.7407,-74.0077,3,16,6
191828,40.7942,-73.974,1,7,1
266944,40.7141,-74.0094,2,9,1
160543,40.7398,-74.008,1,12,4
470522,40.731,-74.0029,3,4,3
218232,40.7404,-74.0079,1,22,6
369959,40.7271,-73.9887,3,23,2
3136,40.7563,-73.9715,0,17,4
439946,40.7562,-73.9789,3,20,5
309879,40.7684,-73.9822,2,21,2
556361,40.7883,-73.9763,4,17,2
294445,40.748,-73.9569,2,8,6
391595,40.7158,-73.9947,3,5,6
103516,40.6917,-73.9696,1,8,1
133591,40.7233,-73.9957,1,14,2
514138,40.8013,-73.9481,3,7,2
403737,40.7344,-73.9885,3,18,4
288820,40.719,-73.9896,2,7,1
339457,40.7496,-73.9917,3,20,6
422970,40.7266,-73.994,3,0,3
533330,40.7076,-74.0095,3,6,5
23753,40.6568,-73.9622,0,7,5
501859,40.7275,-73.9936,3,21,4
158323,40.728,-73.9999,1,23,6
220059,40.7456,-73.9895,2,13,5
536000,40.7182,-74.0016,3,14,5
505999,40.7491,-73.9821,3,14,0
88628,40.7542,-73.9961,1,12,0
386299,40.7571,-73.9694,3,8,5
114804,40.7159,-74.0085,1,13,6
128727,40.6449,-73.7821,1,16,0
152389,40.7477,-73.971,1,8,6
335750,40.7929,-73.9749,3,12,6
232350,40.7443,-73.9878,2,16,0
49473,40.7222,-74.0646,1,3,0
59776,40.7127,-73.9643,1,19,2
516124,40.7477,-73.9725,3,15,2
391193,40.7574,-73.9827,3,23,5
13305,40.7328,-73.9424,0,16,0
160417,40.6546,-73.9127,1,11,4
516892,40.7605,-73.9874,3,16,2
230591,40.7807,-73.9605,2,7,0
554156,40.7218,-73.9945,3,22,6
119564,40.72,-73.9932,1,7,4
405980,40.7661,-73.9871,3,21,4
188393,40.7395,-74.0054,1,14,3
550518,40.7108,-74.0009,3,18,6
50678,40.7755,-73.9823,1,10,0
268862,40.7753,-73.9591,2,4,5
133533,40.7507,-73.9945,1,14,2
383659,40.7311,-73.9537,3,21,1
260632,40.734,-74.0027,2,23,0
526533,40.7588,-73.9777,3,20,3
232406,40.7619,-73.9684,2,16,0
396902,40.7654,-73.9776,3,19,6
201479,40.754,-73.9869,1,17,5
176828,40.7436,-73.9734,1,1,2
14314,40.7346,-73.9998,0,14,2
114658,40.7176,-73.9998,1,12,6
359581,40.7277,-74.0016,3,21,0
318696,40.7503,-73.9913,2,17,5
325055,40.7325,-73.9992,2,19,6
108977,40.7233,-74.0062,1,15,5
169686,40.7639,-73.9712,1,14,0
248348,40.727,-73.9588,2,18,5
519612,40.7556,-73.9947,3,20,2
220884,40.7549,-73.9894,2,17,5
148691,40.7402,-73.9904,1,17,5
206861,40.7171,-74.0047,1,8,6
165178,40.7499,-73.9793,1,21,4
534281,40.7306,-73.9892,3,8,5
349248,40.7252,-73.9947,3,22,4
500020,40.7495,-73.9774,3,18,4
372686,40.7318,-73.9835,3,11,3
186360,40.7411,-73.8657,1,1,3
146318,40.7328,-73.9879,1,9,5
403786,40.711,-74.0057,3,18,4
136338,40.7407,-74.0069,1,22,2
235485,40.7469,-73.956,2,0,2
519585,40.7742,-73.8725,3,20,2
328644,40.7036,-74.1854,3,10,5
409694,40.7277,-73.9894,3,13,0
256794,40.6449,-73.7823,2,5,0
288819,40.7304,-73.9901,2,7,1
288373,40.7155,-74.0145,2,23,3
145331,40.7179,-73.9855,1,5,5
272119,40.7638,-73.9762,2,20,5
262093,40.763,-73.9878,2,16,2
555725,40.6708,-73.9722,4,7,0
7041,40.7401,-74.006,0,1,3
424347,40.7194,-73.9989,3,10,3
132448,40.764,-73.9883,1,6,2
26914,40.6154,-74.0238,0,20,4
45859,40.7024,-73.9896,1,15,4
81510,40.7382,-73.9793,1,7,4
476560,40.7024,-73.9867,3,13,1
495866,40.7579,-73.9893,3,9,4
91873,40.7536,-73.9771,1,21,0
474930,40.7332,-74.0086,3,6,1
393999,40.7561,-73.9672,3,13,6
127123,40.7203,-73.9997,1,11,0
232725,40.7278,-74.0014,2,16,0
391033,40.6808,-73.9807,3,22,5
546739,40.7187,-74.0027,3,15,6
359129,40.741,-74.0079,3,20,0
383246,40.7539,-73.9778,3,20,1
91845,40.7704,-73.9622,1,21,0
134655,40.7408,-74.0017,1,17,2
154184,40.79,-73.9543,1,15,6
478984,40.7215,-73.9929,3,20,1
171631,40.719,-74.0051,1,17,0
452647,40.756,-73.9728,3,16,4
361256,40.7268,-73.9859,3,23,0
441431,40.6759,-73.9605,3,0,6
227591,40.7469,-73.9817,2,15,4
68749,40.7319,-74.0094,1,17,1
77729,40.7559,-73.9775,1,13,6
375168,40.806,-73.9571,3,19,3
536542,40.7608,-73.9981,3,15,5
27820,40.8226,-74.1179,0,15,0
205132,40.645,-73.782,1,22,5
18650,40.7556,-73.98,0,16,6
74712,40.7236,-73.9517,1,19,5
202235,40.7553,-73.983,1,17,5
551240,40.7443,-73.984,3,19,6
369849,40.7258,-73.992,3,23,2
289934,40.7229,-73.9555,2,17,1
519293,40.7585,-73.9655,3,20,2
269031,40.7412,-74.0001,2,6,5
370649,40.7375,-74.0058,3,0,3
280758,40.7232,-73.9997,2,6,0
520588,40.7593,-73.8334,3,22,2
507799,40.6697,-73.9821,3,17,0
45419,40.7667,-73.9829,1,13,4
500328,40.7326,-74.0012,3,19,4
474266,40.7461,-74.0003,3,22,3
372154,40.7184,-74.0039,3,9,3
376873,40.779,-73.9466,3,7,1
115235,40.7587,-73.977,1,14,6
183962,40.7458,-73.8472,1,21,2
10102,40.7245,-73.9372,0,21,5
411598,40.7542,-73.9686,3,17,0
509020,40.7789,-73.9539,3,19,0
268621,40.7637,-73.9711,2,21,1
557054,40.6804,-73.9764,4,6,5
307649,40.7093,-73.9605,2,12,2
365736,40.7477,-73.981,3,17,2
42425,40.7632,-73.9719,1,18,6
339039,40.7641,-73.9766,3,19,6
211612,40.719,-73.9964,1,15,6
271217,40.7215,-73.9956,2,17,5
286681,40.7125,-73.9238,2,5,3
262500,40.7231,-74.008,2,17,2
394838,40.7313,-73.9914,3,15,6
481805,40.8961,-73.9082,3,12,5
402912,40.7249,-73.9882,3,17,4
342804,40.7647,-73.9956,3,11,4
276774,40.7699,-73.9573,2,6,4
149290,40.7627,-73.9813,1,18,5
126047,40.6469,-73.7897,1,5,0
106396,40.7394,-73.9897,1,22,1
204084,40.731,-73.9922,1,20,5
10023,40.716,-74.012,0,20,5
177416,40.7036,-73.9896,1,4,2
319663,40.7062,-74.0095,2,21,5
348926,40.6459,-73.7768,3,22,4
294076,40.7423,-73.9796,2,6,6
171328,40.7229,-74.0062,1,17,0
78789,40.7808,-73.982,1,17,6
240508,40.766,-73.9656,2,13,3
432200,40.7348,-74.003,3,20,1
550618,40.7499,-73.9915,3,19,6
269569,40.7248,-74.0078,2,9,5
343493,40.7288,-73.9968,3,13,4
325357,40.7318,-74.0076,2,19,6
169044,40.7479,-74.0047,1,12,0
322921,40.6419,-73.7882,2,15,6
127634,40.7371,-74.0065,1,13,0
10498,40.7646,-73.9956,0,11,6
8187,40.7092,-74.0143,0,13,1
469983,40.7064,-74.0093,3,0,3
21127,40.7565,-73.9724,0,18,0
56504,40.7638,-73.9281,1,0,2
523007,40.6464,-73.7771,3,5,3
160893,40.7046,-74.0133,1,13,4
441758,40.7311,-73.9877,3,5,6
463808,40.7449,-73.9996,3,23,0
82076,40.7702,-73.8649,1,10,4
78403,40.7531,-73.9722,1,16,6
375659,40.7266,-73.9945,3,21,3
283390,40.7611,-73.9908,2,22,0
323228,40.646,-73.7767,2,15,6
364946,40.7196,-74.0102,3,16,2
511790,40.7269,-73.9915,3,23,0
484654,40.7625,-73.9708,3,19,5
125706,40.7418,-74.004,1,0,0
466786,40.7207,-73.9938,3,15,2
122016,40.7402,-74.0059,1,16,4
472427,40.7568,-73.9741,3,15,3
287974,40.748,-74.0049,2,19,3
533814,40.7285,-73.982,3,7,5
132874,40.7341,-73.9832,1,10,2
351626,40.6784,-73.9967,3,8,0
164276,40.786,-73.971,1,19,4
108407,40.7311,-74.0086,1,13,5
475337,40.7428,-73.9948,3,7,1
238988,40.7529,-73.9813,2,23,2
498206,40.7677,-73.9684,3,16,4
406587,40.7342,-73.9909,3,23,4
289356,40.7839,-73.9566,2,13,1
5405,40.7633,-73.9596,0,21,0
146990,40.8151,-73.9476,1,13,5
487901,40.714,-74.0095,3,9,6
545942,40.8339,-73.9375,3,13,6
82979,40.7073,-74.0166,1,14,4
119394,40.7247,-73.9938,1,7,4
304553,40.752,-73.9859,2,17,0
152280,40.7277,-73.98,1,8,6
433233,40.7676,-73.9909,3,5,5
367697,40.7043,-74.009,3,20,2
264764,40.6139,-74.0328,2,10,3
533526,40.8041,-73.9545,3,6,5
541482,40.7351,-74.0067,3,3,6
152487,40.7843,-73.9551,1,9,6
203439,40.7488,-73.9856,1,19,5
508735,40.7604,-73.9718,3,18,0
497542,40.7285,-74.0,3,15,4
409831,40.7638,-73.974,3,13,0
561561,40.7571,-73.9749,4,13,6
258235,40.7653,-73.9753,2,13,0
177767,40.7504,-73.997,1,8,2
37831,40.7131,-74.0072,1,17,5
120933,40.7507,-73.9804,1,13,4
252506,40.7437,-74.0033,2,22,6
155612,40.7525,-73.9793,1,17,6
540687,40.7618,-73.9786,3,21,5
197706,40.7381,-73.9853,1,7,5
294039,40.7422,-73.9557,2,6,6
408178,40.7258,-74.0007,3,8,0
150721,40.7452,-73.9981,1,21,5
291324,40.7631,-73.9809,2,8,5
504845,40.7081,-74.0017,3,10,0
289979,40.7343,-74.0047,2,17,1
373655,40.7331,-73.9983,3,15,3
148086,40.7593,-73.9732,1,16,5
36285,40.7899,-73.9743,1,8,5
243715,40.7225,-74.0081,2,16,1
164508,40.7849,-73.9564,1,20,4
12171,40.7138,-74.0086,0,17,4
291251,40.7224,-73.9979,2,8,5
149875,40.7621,-73.9715,1,19,5
23531,40.7711,-73.8661,0,19,1
159152,40.7403,-73.998,1,7,4
467063,40.7404,-74.0019,3,16,2
158859,40.7757,-73.9586,1,6,4
73601,40.7622,-73.9788,1,16,5
106227,40.7319,-73.9918,1,21,1
381016,40.7775,-73.9569,3,17,1
134014,40.7577,-73.9753,1,15,2
555249,40.7593,-73.9809,4,21,6
10119,40.7391,-73.986,0,21,5
101849,40.6878,-73.9992,1,18,3
94497,40.694,-73.9888,1,13,2
220058,40.7858,-73.971,2,13,5
363662,40.7477,-73.9731,3,12,2
445850,40.7162,-74.0149,3,17,6
529437,40.7241,-74.0107,3,12,1
201280,40.7498,-73.9899,1,16,5
473848,40.7547,-73.9687,3,20,3
425087,40.7587,-73.9886,3,13,3
145274,40.7258,-74.0068,1,4,5
215067,40.7614,-73.9662,1,19,6
527354,40.7074,-74.0014,3,4,1
487516,40.7496,-73.9832,3,8,6
25015,40.6778,-74.1973,0,13,6
154918,40.7245,-73.9932,1,16,6
129285,40.7649,-73.9219,1,18,0
468767,40.684,-73.9813,3,21,2
120990,40.7205,-74.0034,1,14,4
67465,40.7457,-73.9571,1,13,1
67314,40.7583,-73.989,1,12,1
285664,40.7727,-73.9787,2,19,2
74987,40.7176,-73.9894,1,19,5
520738,40.7455,-74.0029,3,22,2
428482,40.7233,-73.9974,3,7,1
370665,40.7636,-73.9887,3,0,3
372524,40.6458,-73.7768,3,10,3
184851,40.7335,-73.9975,1,23,2
209569,40.675,-73.9767,1,13,6
502326,40.741,-74.0077,3,22,4
428416,40.7675,-73.9845,3,7,1
20487,40.7242,-73.9989,0,23,4
5059,40.7339,-73.9965,0,18,0
153379,40.7633,-73.977,1,13,6
161893,40.7641,-73.981,1,15,4
85453,40.7357,-73.9928,1,19,4
521067,40.7491,-73.9841,3,22,2
332118,40.7254,-73.993,3,20,5
559115,40.7731,-73.9645,4,20,1
93897,40.7299,-74.0041,1,9,2
163238,40.7378,-73.9922,1,18,4
399072,40.6779,-73.9702,3,6,4
52601,40.7365,-74.0017,1,16,0
93136,40.7162,-74.0165,1,0,2
318653,40.7956,-73.9704,2,17,5
440570,40.7475,-73.9863,3,21,5
68033,40.705,-74.0134,1,15,1
242341,40.768,-73.9532,2,7,1
262568,40.7187,-74.0104,2,18,2
167379,40.709,-73.9484,1,6,0
467690,40.7756,-73.9765,3,18,2
142925,40.7442,-73.984,1,15,1
557555,40.7077,-74.0087,4,19,6
44216,40.7569,-73.961,1,6,4
66591,40.7349,-74.0048,1,7,1
146208,40.7459,-74.0039,1,8,5
146569,40.7578,-73.9891,1,10,5
166246,40.7443,-74.0066,1,22,4
280722,40.7547,-73.9817,2,6,0
320769,40.763,-73.9762,2,7,6
27991,40.733,-73.9928,0,17,0
410438,40.7161,-74.0071,3,15,0
19142,40.7726,-73.965,0,23,6
432655,40.7622,-73.9862,3,22,1
91175,40.7456,-73.9915,1,19,0
27884,40.7329,-74.0065,0,16,0
60545,40.7315,-74.0005,1,21,2
422267,40.6877,-73.9309,3,23,2
398374,40.7565,-73.9821,3,23,6
173252,40.7589,-73.9674,1,20,0
183997,40.7141,-74.0094,1,21,2
515904,40.7446,-73.9851,3,14,2
273777,40.6955,-73.993,2,10,6
508983,40.7467,-73.9858,3,19,0
41384,40.7479,-74.0068,1,15,6
218149,40.7264,-73.9937,1,22,6
69744,40.7249,-73.9951,1,19,1
7792,40.7278,-73.9851,0,2,1
370718,40.72,-73.9554,3,0,3
244435,40.7599,-73.972,2,18,1
462063,40.7203,-73.9872,3,19,0
156982,40.7619,-73.9697,1,20,6
122847,40.7639,-73.9712,1,18,4
189870,40.7192,-73.9955,1,18,3
428504,40.7492,-73.9756,3,7,1
454879,40.7215,-73.9976,3,20,4
17853,40.7233,-73.99,0,20,5
130910,40.6926,-74.0881,1,21,0
271838,40.7193,-74.0062,2,19,5
284150,40.7668,-73.989,2,7,2
552112,40.736,-73.9905,3,20,6
222294,40.7206,-74.0019,2,6,6
424122,40.7817,-73.9491,3,9,3
30404,40.7218,-74.0041,0,12,3
241009,40.7455,-73.9925,2,16,3
348694,40.7325,-73.9992,3,22,4
107611,40.727,-73.984,1,9,5
25373,40.7343,-74.0062,0,17,6
487036,40.7168,-73.9635,3,7,6
162780,40.7635,-73.9715,1,17,4
509987,40.7227,-74.005,3,20,0
238732,40.7265,-73.99,2,22,2
366841,40.7224,-73.955,3,19,2
302634,40.7743,-73.9638,2,7,0
480211,40.7972,-73.9714,3,6,5
452433,40.7909,-73.9668,3,16,4
411254,40.7367,-73.9802,3,16,0
296235,40.7704,-73.9622,2,18,6
38509,40.7399,-73.9823,1,19,5
174839,40.725,-73.9922,1,22,0
137763,40.7474,-73.9856,1,10,3
327076,40.7728,-73.9599,3,5,5
138754,40.7181,-73.9574,1,15,3
110829,40.7852,-73.7048,1,19,5
128640,40.7846,-73.9502,1,16,0
168908,40.6704,-73.9783,1,12,0
297349,40.7506,-74.0026,2,22,6
167333,40.7226,-73.981,1,6,0
229021,40.7386,-74.0036,2,20,4
403674,40.7241,-73.9961,3,18,4
249560,40.7764,-73.9544,2,6,6
364480,40.6792,-73.9276,3,15,2
440101,40.7356,-73.9886,3,21,5
520440,40.7145,-73.9917,3,21,2
388296,40.8075,-73.9642,3,16,5
455606,40.7052,-73.9253,3,21,4
506549,40.7288,-73.9904,3,15,0
412331,40.7927,-73.9712,3,18,0
554463,40.7215,-73.9885,3,23,6
145917,40.7112,-73.9526,1,7,5
172165,40.717,-73.9946,1,18,0
220395,40.7054,-73.9388,2,15,5
248302,40.7449,-73.9871,2,18,5
191808,40.7892,-73.9757,1,7,1
181469,40.7245,-73.9934,1,18,2
399006,40.7192,-74.0017,3,6,4
38961,40.7533,-74.0263,1,21,5
548970,40.7465,-73.9776,3,17,6
45362,40.7651,-73.9682,1,12,4
208935,40.7583,-73.9733,1,12,6
357270,40.7587,-73.9687,3,18,0
480000,40.6913,-73.9574,3,5,5
473264,40.7519,-73.9937,3,18,3
553308,40.7591,-73.9745,3,21,6
446216,40.728,-74.007,3,18,6
194584,40.7531,-73.9811,1,16,1
163612,40.774,-73.8718,1,18,4
294301,40.7525,-73.9772,2,7,6
450619,40.793,-73.9657,3,11,4
277330,40.772,-73.9901,2,10,4
391138,40.7092,-74.0105,3,22,5
219052,40.7358,-73.9929,2,6,5
79854,40.7273,-74.0067,1,20,6
9275,40.7555,-73.9739,0,7,5
365006,40.761,-73.9754,3,16,2
285961,40.7583,-73.9609,2,21,2
341461,40.7602,-73.9988,3,7,4
396262,40.7212,-73.9947,3,18,6
